,sn,sn_name,sn_type,targets
47,C0023570,levodopa,AAPP,"{'C0002395': 0.057860444095796555, 'C0020676': 0.052870163863965924, 'C0025519': 0.0645466410494498}"
48,C0038454,Cerebrovascular accident,DSYN,"{'C0002395': 0.05780837587878164, 'C0020676': 0.052567546073239234, 'C0025519': 0.06450179418257594}"
49,C0389071,Adiponectin,AAPP,"{'C0002395': 0.057801039429320404, 'C0020676': 0.052250767782152575, 'C0025519': 0.06427561225939633}"
50,C0004153,Atherosclerosis,DSYN,"{'C0002395': 0.057597853190487124, 'C0020676': 0.051196525980880786, 'C0025519': 0.06399185948682243}"
51,C0033634,Protein Kinase C,AAPP,"{'C0002395': 0.0571048600635956, 'C0020676': 0.050942884505588586, 'C0025519': 0.06356229090156477}"
52,C0026549,morphine,ORCH,"{'C0002395': 0.05660989978979461, 'C0020676': 0.050756904575331906, 'C0025519': 0.06316639250703535}"
53,C0014822|2056,NAME_NOT_FOUND,AAPP,"{'C0002395': 0.05557704317291242, 'C0020676': 0.05055453204674272, 'C0025519': 0.06262856750132655}"
54,C0376261,lactate,ORCH,"{'C0002395': 0.05553098680277047, 'C0020676': 0.0504167730933556, 'C0025519': 0.0625271030309061}"
55,C0132555,Nitric Oxide Synthase,AAPP,"{'C0002395': 0.05548550445301192, 'C0020676': 0.05035398599638024, 'C0025519': 0.06238805801639095}"
56,C0027754|4803,NAME_NOT_FOUND,AAPP,"{'C0002395': 0.055260892595000874, 'C0020676': 0.05021795063035596, 'C0025519': 0.062369626942465374}"
57,C0021758,interleukin-4,AAPP,"{'C0002395': 0.05521560949692654, 'C0020676': 0.049836850048612734, 'C0025519': 0.06231697031587909}"
58,C0033640,Protein Kinases,AAPP,"{'C0002395': 0.054740264226923144, 'C0020676': 0.04977379933964287, 'C0025519': 0.062044422427439606}"
59,C0007222,Cardiovascular Diseases,DSYN,"{'C0002395': 0.054615185446675006, 'C0020676': 0.0497356128564547, 'C0025519': 0.061770295602664255}"
60,C0023821,High Density Lipoproteins,AAPP,"{'C0002395': 0.05385011089134143, 'C0020676': 0.04963772348259151, 'C0025519': 0.06167353506508375}"
61,C0021311,NAME_NOT_FOUND,DSYN,"{'C0002395': 0.0537539920149421, 'C0020676': 0.04933488043182295, 'C0025519': 0.0616571391991097}"
62,C0025598,metformin,ORCH,"{'C0002395': 0.05365718695015809, 'C0020676': 0.04921406447948346, 'C0025519': 0.061299882650957496}"
63,C0030095,oxytocin,AAPP,"{'C0002395': 0.05361399557722528, 'C0020676': 0.04903948244720358, 'C0025519': 0.061243461397419145}"
64,C0038585,Substance P,AAPP,"{'C0002395': 0.053395884191243456, 'C0020676': 0.049034763312003425, 'C0025519': 0.0612188445006423}"
65,C0085295,interleukin-10,AAPP,"{'C0002395': 0.05325498556694446, 'C0020676': 0.04889065217107244, 'C0025519': 0.060551375350960786}"
66,C0911014,ghrelin,AAPP,"{'C0002395': 0.05305517854909687, 'C0020676': 0.048486304454889335, 'C0025519': 0.060383951510528944}"
67,C0011860,"Diabetes Mellitus, Non-Insulin-Dependent",DSYN,"{'C0002395': 0.05296022811105527, 'C0020676': 0.04847285040243173, 'C0025519': 0.06006125429324063}"
68,C0021747,Interferons,AAPP,"{'C0002395': 0.05287620799549166, 'C0020676': 0.04830175376668809, 'C0025519': 0.05993013465501134}"
69,C0001924,Albumins,AAPP,"{'C0002395': 0.05278159695964985, 'C0020676': 0.048274499058064996, 'C0025519': 0.0598433871280105}"
70,C0001044,acetylcholinesterase,AAPP,"{'C0002395': 0.052605407484831584, 'C0020676': 0.0480399917502699, 'C0025519': 0.059712183369311354}"
71,C0027893|4852,NAME_NOT_FOUND,AAPP,"{'C0002395': 0.05220825412728619, 'C0020676': 0.047701329192039205, 'C0025519': 0.05954289802957153}"
72,C0034783,Adrenergic Receptor,AAPP,"{'C0002395': 0.05202234667971358, 'C0020676': 0.04760289520453283, 'C0025519': 0.05943955955839072}"
73,C0034392,quercetin,ORCH,"{'C0002395': 0.051709464607332646, 'C0020676': 0.04743725695209588, 'C0025519': 0.05919407591786024}"
74,C0024337,lysine,AAPP,"{'C0002395': 0.05168538200808406, 'C0020676': 0.04711212620132121, 'C0025519': 0.05916117975070731}"
75,C0242275|1950,NAME_NOT_FOUND,AAPP,"{'C0002395': 0.05167344802242239, 'C0020676': 0.04695933126562096, 'C0025519': 0.059121829063902495}"
76,C0042839,vitamin A,ORCH,"{'C0002395': 0.05112547152910966, 'C0020676': 0.04689410052154058, 'C0025519': 0.0591026640500977}"
77,C0039350,taurine,AAPP,"{'C0002395': 0.05096441912117496, 'C0020676': 0.04665445690938907, 'C0025519': 0.05904961287350071}"
78,C0079633,interleukin-8,AAPP,"{'C0002395': 0.05088714521612448, 'C0020676': 0.046054463197805824, 'C0025519': 0.05882427041184444}"
79,C1305923,Polypeptides,AAPP,"{'C0002395': 0.050668256238335714, 'C0020676': 0.04603235429721607, 'C0025519': 0.058771250011899985}"
80,C0034804,Estrogen Receptors,AAPP,"{'C0002395': 0.0505956534048417, 'C0020676': 0.04602254542592246, 'C0025519': 0.058684020155228195}"
81,C0003779,argipressin,AAPP,"{'C0002395': 0.05054259678297944, 'C0020676': 0.045876692465500926, 'C0025519': 0.05853270046359323}"
82,C0017968,Glycoproteins,AAPP,"{'C0002395': 0.050345990626342256, 'C0020676': 0.04578019368977689, 'C0025519': 0.05842174871382069}"
83,C0733470|3439,NAME_NOT_FOUND,AAPP,"{'C0002395': 0.050334578921906035, 'C0020676': 0.045719853795035674, 'C0025519': 0.05777434350706479}"
84,C0079281,Endothelin-1,AAPP,"{'C0002395': 0.05029470514681874, 'C0020676': 0.04570606261993775, 'C0025519': 0.05766400060576577}"
85,C0042890,Vitamins,ORCH,"{'C0002395': 0.04993519164250806, 'C0020676': 0.04567454409081676, 'C0025519': 0.05658206721727816}"
86,C0348035,oxidized low density lipoprotein,AAPP,"{'C0002395': 0.04984079844269883, 'C0020676': 0.045594756697916884, 'C0025519': 0.05631882327142059}"
87,C0010132,corticotropin-releasing hormone,AAPP,"{'C0002395': 0.04975663464042417, 'C0020676': 0.045385477707104466, 'C0025519': 0.05624204630804642}"
88,C0004358,Autoantibodies,AAPP,"{'C0002395': 0.04961606409531446, 'C0020676': 0.04534092280068712, 'C0025519': 0.05607981759563638}"
89,C0016006,fibrinogen,AAPP,"{'C0002395': 0.04923028140645203, 'C0020676': 0.04532084948686014, 'C0025519': 0.05595145861085829}"
90,C0040135,Thyroid Hormones,AAPP,"{'C0002395': 0.04889554958634373, 'C0020676': 0.044789653304330504, 'C0025519': 0.05590367984202606}"
91,C0033371,prolactin,AAPP,"{'C0002395': 0.04883004012967157, 'C0020676': 0.04464687297906756, 'C0025519': 0.05573206201333176}"
92,C0040845,tretinoin,ORCH,"{'C0002395': 0.04850055053852887, 'C0020676': 0.04440565197561496, 'C0025519': 0.055694677472028845}"
93,C0596577,Flavonoids,ORCH,"{'C0002395': 0.04840168785288327, 'C0020676': 0.04439069370213008, 'C0025519': 0.05531449267745291}"
94,C0027051,Myocardial Infarction,DSYN,"{'C0002395': 0.04838256715513388, 'C0020676': 0.04438717864415045, 'C0025519': 0.055182000829818216}"
95,C0022709,Peptidyl-Dipeptidase A,AAPP,"{'C0002395': 0.04835768730991136, 'C0020676': 0.04436256827049053, 'C0025519': 0.05506479083271316}"
96,C0016055,Fibronectins,AAPP,"{'C0002395': 0.04832583694000307, 'C0020676': 0.04398859834702442, 'C0025519': 0.054865686742487235}"
97,C0033497,propranolol,ORCH,"{'C0002395': 0.04830961639317502, 'C0020676': 0.043740914831381254, 'C0025519': 0.054111764209387715}"
98,C0178638,folate,ORCH,"{'C0002395': 0.048254960403584325, 'C0020676': 0.04373037539664404, 'C0025519': 0.053725383716787534}"
99,C0022245,isoproterenol,ORCH,"{'C0002395': 0.04774245469707212, 'C0020676': 0.04368514368907792, 'C0025519': 0.053253637621836214}"
100,C0001655|5443,NAME_NOT_FOUND,AAPP,"{'C0002395': 0.04757248023018996, 'C0020676': 0.04340227937377619, 'C0025519': 0.05313147998188142}"
101,C0042395,vasoactive intestinal peptide,AAPP,"{'C0002395': 0.047297654508757975, 'C0020676': 0.043391532169347824, 'C0025519': 0.05289995764948498}"
102,C0242210,Binding Proteins,AAPP,"{'C0002395': 0.0472563719056176, 'C0020676': 0.043300777134309666, 'C0025519': 0.05287947469517018}"
103,C0015879,Ferritin,AAPP,"{'C0002395': 0.04717739715243214, 'C0020676': 0.04305274144813298, 'C0025519': 0.05277912842657012}"
104,C0001479,Na(+)-K(+)-Exchanging ATPase,AAPP,"{'C0002395': 0.04643749643095856, 'C0020676': 0.043018648093224664, 'C0025519': 0.052312292381554035}"
105,C0004096,Asthma,DSYN,"{'C0002395': 0.04614655188127626, 'C0020676': 0.04295722677314897, 'C0025519': 0.05180821305770793}"
106,C0299583,leptin,AAPP,"{'C0002395': 0.0461079591929814, 'C0020676': 0.04290724818891145, 'C0025519': 0.05135421133828861}"
107,C0074554,simvastatin,ORCH,"{'C0002395': 0.04609483536105878, 'C0020676': 0.0428702654205599, 'C0025519': 0.051316444896155264}"
108,C0010531,Cyclic AMP-Dependent Protein Kinases,AAPP,"{'C0002395': 0.045899469586382184, 'C0020676': 0.04231306249914654, 'C0025519': 0.050668701453596136}"
109,C0020063|5741,NAME_NOT_FOUND,AAPP,"{'C0002395': 0.045802066455745444, 'C0020676': 0.04224579966658124, 'C0025519': 0.050605054831610374}"
110,C0017822,GLUTATHIONE PEROXIDASE,AAPP,"{'C0002395': 0.04568035562131816, 'C0020676': 0.04221456257265838, 'C0025519': 0.050566558987113805}"
111,C0018546,haloperidol,ORCH,"{'C0002395': 0.04555022210585729, 'C0020676': 0.04218406257214402, 'C0025519': 0.050304985352287945}"
112,C0022116,Ischemia,DSYN,"{'C0002395': 0.045134893008247516, 'C0020676': 0.041922741732097854, 'C0025519': 0.050057325280278925}"
113,C0016365,fluoxetine,ORCH,"{'C0002395': 0.04500992106171899, 'C0020676': 0.041731442435244154, 'C0025519': 0.0499392406498116}"
114,C0020456,Hyperglycemia,DSYN,"{'C0002395': 0.04481656367696954, 'C0020676': 0.041676116050009315, 'C0025519': 0.04974240267629428}"
115,C0023823,Low-Density Lipoproteins,AAPP,"{'C0002395': 0.044763280919267304, 'C0020676': 0.041302340731119755, 'C0025519': 0.04950883907108175}"
116,C0014544,Epilepsy,DSYN,"{'C0002395': 0.044552425767345284, 'C0020676': 0.04121066624884318, 'C0025519': 0.04921754007429647}"
117,C0042523,verapamil,ORCH,"{'C0002395': 0.04435600292316185, 'C0020676': 0.0411996059597832, 'C0025519': 0.04916763431953808}"
118,C0063695,Intercellular adhesion molecule 1,AAPP,"{'C0002395': 0.04405591919471877, 'C0020676': 0.041101297203121695, 'C0025519': 0.04904390310832343}"
119,C0037657,Somatomedins,AAPP,"{'C0002395': 0.043935246030010845, 'C0020676': 0.04094250128165533, 'C0025519': 0.04903893964573563}"
120,C0001898,alanine,AAPP,"{'C0002395': 0.04368143578063163, 'C0020676': 0.040822466666588904, 'C0025519': 0.048990722221943415}"
121,C0023610,gonadorelin,AAPP,"{'C0002395': 0.04349983507235741, 'C0020676': 0.040605934632428446, 'C0025519': 0.04886840038220227}"
122,C0003779|551,NAME_NOT_FOUND,AAPP,"{'C0002395': 0.043411652432766915, 'C0020676': 0.040598896523238795, 'C0025519': 0.04867929920088977}"
123,C0016410,folic acid,ORCH,"{'C0002395': 0.043121017876900036, 'C0020676': 0.040542641850520623, 'C0025519': 0.048507903094557214}"
124,C0037659|6750,NAME_NOT_FOUND,AAPP,"{'C0002395': 0.04310268748496652, 'C0020676': 0.040258491152435134, 'C0025519': 0.04793847922190391}"
125,C0105770,beta catenin,AAPP,"{'C0002395': 0.042981683923140446, 'C0020676': 0.040248078923996504, 'C0025519': 0.047594809433515586}"
126,C0025252,Membrane Proteins,AAPP,"{'C0002395': 0.042945387833971935, 'C0020676': 0.04011722770620365, 'C0025519': 0.04732365881407773}"
127,C0002199,Interferon-alpha,AAPP,"{'C0002395': 0.042943542433715204, 'C0020676': 0.04010588490666807, 'C0025519': 0.04728678640995555}"
128,C0053396,beta carotene,ORCH,"{'C0002395': 0.04279094906468578, 'C0020676': 0.0395296991124586, 'C0025519': 0.04726933108302613}"
129,C0006772,Calmodulin,AAPP,"{'C0002395': 0.042283640224508326, 'C0020676': 0.03936638060330238, 'C0025519': 0.04723531414567464}"
130,C0085201,Apolipoprotein A-I,AAPP,"{'C0002395': 0.041998097084923726, 'C0020676': 0.03925949559071654, 'C0025519': 0.04703739242489536}"
131,C0001655,corticotropin,AAPP,"{'C0002395': 0.041947640153797545, 'C0020676': 0.039253800748893446, 'C0025519': 0.04700949944278827}"
132,C0011849,Diabetes Mellitus,DSYN,"{'C0002395': 0.041863673164676214, 'C0020676': 0.03910692439123784, 'C0025519': 0.046814060071807315}"
133,C0023607,luteinizing hormone,AAPP,"{'C0002395': 0.04171869395221218, 'C0020676': 0.03898383859894378, 'C0025519': 0.046672173591132224}"
134,C0242417,Oxidases,AAPP,"{'C0002395': 0.04106747091714161, 'C0020676': 0.038921224489340045, 'C0025519': 0.046637931864225594}"
135,C0021760|3569,NAME_NOT_FOUND,AAPP,"{'C0002395': 0.04096253265097243, 'C0020676': 0.03884137389660586, 'C0025519': 0.04659859784668704}"
136,C0010068,Coronary heart disease,DSYN,"{'C0002395': 0.04094419626222019, 'C0020676': 0.03881685557068946, 'C0025519': 0.04659342265357044}"
137,C0037659,somatostatin,AAPP,"{'C0002395': 0.04084618327959524, 'C0020676': 0.03880165220533758, 'C0025519': 0.046364962828054766}"
138,C0018801,Heart failure,DSYN,"{'C0002395': 0.04072272075893378, 'C0020676': 0.038647752010920286, 'C0025519': 0.04627914461477235}"
139,C0948265,NAME_NOT_FOUND,DSYN,"{'C0002395': 0.040651655117528725, 'C0020676': 0.038011062111383324, 'C0025519': 0.04622186087380868}"
140,C0041491|7054,NAME_NOT_FOUND,AAPP,"{'C0002395': 0.04058751752844418, 'C0020676': 0.03771461223347076, 'C0025519': 0.046102336116982084}"
141,C0001492,Adenylate Cyclase,AAPP,"{'C0002395': 0.040526424380847366, 'C0020676': 0.03771081217069893, 'C0025519': 0.046091132429782355}"
142,C0042845,vitamin B12,ORCH,"{'C0002395': 0.040500061125166464, 'C0020676': 0.0372698935518963, 'C0025519': 0.04566129463134078}"
143,C0079284,Endothelin,AAPP,"{'C0002395': 0.04030717956452457, 'C0020676': 0.037257712681667284, 'C0025519': 0.04558099855720079}"
144,C0003018,Angiotensins,AAPP,"{'C0002395': 0.04029295667101044, 'C0020676': 0.03725596371000259, 'C0025519': 0.04556570871484885}"
145,C0022917,Lactate Dehydrogenase,AAPP,"{'C0002395': 0.04023761194841845, 'C0020676': 0.0372301040739274, 'C0025519': 0.045369518554855215}"
146,C0010054,Coronary Arteriosclerosis,DSYN,"{'C0002395': 0.03997330889003321, 'C0020676': 0.03722441593369112, 'C0025519': 0.04530092351191379}"
147,C0008679,Chronic disease,DSYN,"{'C0002395': 0.03986380732750595, 'C0020676': 0.03713426009442038, 'C0025519': 0.04529708497107869}"
148,C0019693,HIV Infections,DSYN,"{'C0002395': 0.03983855560713052, 'C0020676': 0.03699318464020402, 'C0025519': 0.04518595351475528}"
149,C0003873,Rheumatoid Arthritis,DSYN,"{'C0002395': 0.03966154619455452, 'C0020676': 0.03694286441140091, 'C0025519': 0.04504356191314479}"
150,C0027358,naloxone,ORCH,"{'C0002395': 0.03959601006148625, 'C0020676': 0.036924175776176904, 'C0025519': 0.045005236866678844}"
151,C0006685,Calcium Channel,AAPP,"{'C0002395': 0.03957938108624873, 'C0020676': 0.0368457764197161, 'C0025519': 0.04490761977363612}"
152,C0040048,Thromboplastin,AAPP,"{'C0002395': 0.03903459170816601, 'C0020676': 0.036804382040237144, 'C0025519': 0.04455064638097513}"
153,C0027765,nervous system disorder,DSYN,"{'C0002395': 0.03866197045407698, 'C0020676': 0.03678281720306689, 'C0025519': 0.04443130482355814}"
154,C0006938,captopril,AAPP,"{'C0002395': 0.0385500960471277, 'C0020676': 0.03661739314447756, 'C0025519': 0.04436932854277586}"
155,C0151744,Myocardial Ischemia,DSYN,"{'C0002395': 0.03843292483383733, 'C0020676': 0.03656621928249991, 'C0025519': 0.04434214034884001}"
156,C0006864,Cannabinoids,ORCH,"{'C0002395': 0.03826804561083256, 'C0020676': 0.03653343670441049, 'C0025519': 0.044270893582155836}"
157,C0856169,Endothelial dysfunction,DSYN,"{'C0002395': 0.038229043477800206, 'C0020676': 0.03641836428178968, 'C0025519': 0.044186012279987245}"
158,C0023764,lipase,AAPP,"{'C0002395': 0.038100897129857515, 'C0020676': 0.03640686656994394, 'C0025519': 0.04409790965378214}"
159,C0054450,Calcineurin,AAPP,"{'C0002395': 0.038075318604902444, 'C0020676': 0.03635042927852356, 'C0025519': 0.044088960040346126}"
160,C0038785,Sulfuric Acid Esters,ORCH,"{'C0002395': 0.03787762468553111, 'C0020676': 0.03630207350785349, 'C0025519': 0.043562381854842847}"
161,C0003593|338,NAME_NOT_FOUND,AAPP,"{'C0002395': 0.03760657507462151, 'C0020676': 0.03623457198892761, 'C0025519': 0.043339265275253475}"
162,C0024117,Chronic Obstructive Airway Disease,DSYN,"{'C0002395': 0.03746067959191163, 'C0020676': 0.03591241128589799, 'C0025519': 0.042911392057528024}"
163,C0029456,Osteoporosis,DSYN,"{'C0002395': 0.037368438749638015, 'C0020676': 0.03572493322759741, 'C0025519': 0.04279368204477982}"
164,C0948008,Ischemic stroke,DSYN,"{'C0002395': 0.037350950170420394, 'C0020676': 0.035696721367144794, 'C0025519': 0.04276714060431688}"
165,C0032120,Plasma Proteins,AAPP,"{'C0002395': 0.03712328347732026, 'C0020676': 0.03543164509134579, 'C0025519': 0.042169194570860935}"
166,C0017040,Gamma-glutamyl transferase,AAPP,"{'C0002395': 0.03711954692057536, 'C0020676': 0.035274373823472364, 'C0025519': 0.04207984841263076}"
167,C0036690,Septicemia,DSYN,"{'C0002395': 0.03699877880831557, 'C0020676': 0.03502525494061332, 'C0025519': 0.04148597885543098}"
168,C0010749,Cytochromes c,AAPP,"{'C0002395': 0.03696976773285519, 'C0020676': 0.0349849945719571, 'C0025519': 0.04136511293660296}"
169,C0010286,creatine,AAPP,"{'C0002395': 0.036934504346249154, 'C0020676': 0.034883890823251155, 'C0025519': 0.04096865465912089}"
170,C0034798,Dopamine Receptor,AAPP,"{'C0002395': 0.036831135004588185, 'C0020676': 0.03477233177412661, 'C0025519': 0.040608400138309596}"
171,C0022661,"Kidney Failure, Chronic",DSYN,"{'C0002395': 0.03664337901382386, 'C0020676': 0.03429655435126061, 'C0025519': 0.04033735345218678}"
172,C0040162,thyrotropin-releasing hormone,AAPP,"{'C0002395': 0.03651665491576234, 'C0020676': 0.034261596164761446, 'C0025519': 0.040101013734342356}"
173,C1180347,Protein complex,AAPP,"{'C0002395': 0.03649704416865754, 'C0020676': 0.033963445104199366, 'C0025519': 0.03984873805273157}"
174,C0006668,calcitonin,AAPP,"{'C0002395': 0.036494502089032356, 'C0020676': 0.0338830046792879, 'C0025519': 0.039554935481387145}"
175,C0011854,"Diabetes Mellitus, Insulin-Dependent",DSYN,"{'C0002395': 0.03636185215776889, 'C0020676': 0.03387981501704249, 'C0025519': 0.03944884884621783}"
176,C0006560|1401,NAME_NOT_FOUND,AAPP,"{'C0002395': 0.03623172134511758, 'C0020676': 0.03384060100132481, 'C0025519': 0.039328642439626124}"
177,C0018061,Gonadotropins,AAPP,"{'C0002395': 0.03610181114584938, 'C0020676': 0.03379556259092896, 'C0025519': 0.039233828350812204}"
178,C0022658,Kidney Diseases,DSYN,"{'C0002395': 0.03607633821009161, 'C0020676': 0.033734796692972545, 'C0025519': 0.03903646676521335}"
179,C0001175,Acquired Immunodeficiency Syndrome,DSYN,"{'C0002395': 0.03576871276716752, 'C0020676': 0.0336845866625923, 'C0025519': 0.03870220920906173}"
180,C0022180,isoflurane,ORCH,"{'C0002395': 0.03575980055275749, 'C0020676': 0.033675798918034766, 'C0025519': 0.03869275868882096}"
181,C0206588,"Receptors, Nuclear",AAPP,"{'C0002395': 0.03568802494732437, 'C0020676': 0.033580227970766104, 'C0025519': 0.03866793744903766}"
182,C0040165,levothyroxine,AAPP,"{'C0002395': 0.03561020822522812, 'C0020676': 0.033548047678787926, 'C0025519': 0.03856963748045938}"
183,C0023610|2796,NAME_NOT_FOUND,AAPP,"{'C0002395': 0.03555214960557952, 'C0020676': 0.03350533532482847, 'C0025519': 0.0385413151153086}"
